date,id,type,amount_msat,amount_fiat,fee_credit_msat,mining_fee_sat,mining_fee_fiat,service_fee_msat,service_fee_fiat,payment_hash,tx_id,destination,description
2025-02-04T21:31:26.177Z,c99d11aa-a4bd-4918-a566-d34e963ccca2,lightning_sent,-24480516,23.8442 USD,0,0,0.0000 USD,101516,0.0988 USD,bfac1e8b3005e88ecdacecd59ed735f5a131733fe26f087ac4480966bd6bbab3,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a2823acef4306544dd7ab7 - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T00:43:15.946Z,1814ff93-34ed-4cfa-9397-c4aa18b8007a,lightning_sent,-49369676,48.2704 USD,0,0,0.0000 USD,200676,0.1962 USD,a933bc80d8fc514a9fbb6a36d4903afce829042f61bc813234a1500c8ebed446,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a296fecef4306544dd98b1 - VENTA x COP 200000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T18:19:03.131Z,c641f52d-9da7-43ea-8dc6-7e096d40a71d,lightning_sent,-262061052,258.4717 USD,0,0,0.0000 USD,1048052,1.0336 USD,d5538febc3bda9dc72f881e33dffd44be6110195806b94e34027b011aaedc4ad,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a355accef4306544de290c - VENTA x COP 1050000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T18:26:52.158Z,1b5d3775-d202-4064-91f3-b9e4667d1a74,lightning_sent,-249720888,242.2395 USD,0,0,0.0000 USD,998888,0.9689 USD,8299ad71cb1d4d22a1e25a0e70ffa3d7deb8bfa2095468a7692b8be64eaa8160,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3855ecef4306544de7cfc - VENTA x COP 1000000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T18:35:12.005Z,3cc44108-6a7e-476f-9c1d-1dece28aeb8d,lightning_sent,-247457872,240.0443 USD,0,0,0.0000 USD,989872,0.9602 USD,785ab259a77d327c708f5ef966034ab41a10c097cccd1b2f2450220517b2af61,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3ad6ccef4306544deb4fb - VENTA x COP 1000000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T18:55:46.514Z,4b9ad4a8-2985-436c-a259-6bc5fda5775c,lightning_sent,-37128908,36.0228 USD,0,0,0.0000 USD,151908,0.1473 USD,9454911e4d2d35a04ce5f476e3c855f58bbf368fbf55e238fa4cfc68b4c38953,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3b21ecef4306544deba31 - VENTA x COP 150000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T20:35:41.259Z,2bb40bbe-4fca-4c7c-b0ed-39eb878f4a8d,lightning_sent,-248013084,242.2652 USD,0,0,0.0000 USD,992084,0.9690 USD,1d96dcc5cc291be8c7a9d90cfbdf4f2183a5f7931b28f9112f21c28f5fa1980b,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a35b7dcef4306544de323c - VENTA x COP 1000000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T21:23:36.159Z,1a1a4439-f914-4adc-8301-ef900f62d583,lightning_sent,-27284688,26.5291 USD,0,0,0.0000 USD,112688,0.1095 USD,a5d952f65e7bea1153c170ca7cc8c99b17830895e3ea13e814a5cade7b5543c0,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a35c94cef4306544de32c8 - VENTA x COP 110000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T23:59:58.452Z,34dd767b-f221-4d58-9f00-d27d44007791,lightning_sent,-16124224,15.6336 USD,0,0,0.0000 USD,68224,0.0661 USD,3fd5902d0c10478ebb1a71665fc05191bb385d81579c4c9da353622d3c9d8cc8,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3d5c9cef4306544def037 - VENTA x COP 65000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-05T23:30:19.764Z,84d5fe16-ce6a-40b9-a7f3-090c2d623f7d,lightning_sent,-9923520,9.6216 USD,0,0,0.0000 USD,43520,0.0421 USD,b918809c04d468f1ad7c0fa581c627de13c67b7ca511a538736b4c9552db8d54,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3edf9cef4306544df1053 - VENTA x COP 40000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T03:21:09.474Z,738101e8-5065-4efb-81ac-d023face6c4d,lightning_sent,-12370268,11.9939 USD,0,0,0.0000 USD,53268,0.0516 USD,2775e063fd84694380a26ab56825ea5cc8c2078f98ff0a460cc06eac7a9e10e8,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a3fb0fcef4306544df21b8 - VENTA x COP 50000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T17:49:31.129Z,0b9382a4-50b4-43cb-a1cf-46a25c7f733f,lightning_sent,-299708040,294.7656 USD,0,0,0.0000 USD,1198040,1.1782 USD,dbf1061aae0d986eb191c048990ff455e23d797eafcb420c509455ea0d2fc3a2,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a4a856cef4306544df7e75 - VENTA x COP 1200000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T14:36:16.442Z,65470476-38ce-4cfa-9fe2-a4d7d3f9f2be,lightning_sent,-125005012,122.8119 USD,0,0,0.0000 USD,502012,0.4932 USD,a204ab5d4e3379453b2ab23e64fe0ee3e9cbd9c27c54fb466d3daded9f82792a,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a4b6a4cef4306544df94de - VENTA x COP 500000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T20:25:36.159Z,2c1f6c6f-5b5c-4910-acbc-c91d02925f49,lightning_sent,-251725876,243.6591 USD,0,0,0.0000 USD,1006876,0.9746 USD,60a82c275b129bfa7d6743a2828b0564ca61f7893b5db2d5431bf12afe994e30,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a4c960cef4306544dfb152 - VENTA x COP 1000000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T18:56:58.981Z,3daf9cb9-7958-424b-97ee-554012da691e,swap_in,1035335000,995.8507 USD,0,624,0.6002 USD,0,0.0000 USD,,251a25f55a582ce926ccd4ebf74b35550ed9835ff8d5a9a2729b6d2784f372bc,,
2025-02-06T19:08:37.051Z,3664deb8-324a-4a59-bcca-9358183bea28,lightning_sent,-465927268,448.9913 USD,0,0,0.0000 USD,1860268,1.7926 USD,62d9cec7c68a768df26dba88e4db95a2ca4003aafd7fd7f5b47b3089e0859089,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Escrow amount Order #67a4bab2cef4306544df9a40: SELL BTC for EUR 420 - It WILL FREEZE IN YOUR WALLET. It will release once you run /release. It will return if buyer does not confirm the payment
2025-02-06T19:20:03.205Z,1bf6c291-15ec-41b9-afe5-e646dd576c84,lightning_sent,-126690728,122.0856 USD,0,0,0.0000 USD,508728,0.4902 USD,a7ef9ba8baf90d65f0312906932944d83ad85fdee75fea441ec9a713dc95e872,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Escrow amount Order #67a4ffb4cef4306544e013c5: SELL BTC for EUR 120 - It WILL FREEZE IN YOUR WALLET. It will release once you run /release. It will return if buyer does not confirm the payment
2025-02-06T20:33:18.499Z,b32c569a-79b7-48e4-984b-7baa40ade111,lightning_sent,-520653300,498.4306 USD,0,0,0.0000 USD,2078300,1.9895 USD,74fd623cc283a8178c9fb109997802c9740c3fb8da7352db8e5ca9b2f0657154,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Escrow amount Order #67a4f7accef4306544e003cc: SELL BTC for COP 2000000 - It WILL FREEZE IN YOUR WALLET. It will release once you run /release. It will return if buyer does not confirm the payment
2025-02-06T21:56:31.462Z,7735ab18-1cd5-4144-b69c-43a96e8523f5,lightning_sent,-12758816,12.3417 USD,0,0,0.0000 USD,54816,0.0530 USD,da9f3b330e94cbc76000fca859b3dcfe3fc1d36bc2c5764a28623935af612059,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a4c8e0cef4306544dfafc9 - VENTA x COP 50000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-06T21:56:50.224Z,95704f8c-c871-43fd-933b-02015a8dbfbf,swap_in,2094588000,2026.1152 USD,0,416,0.4024 USD,0,0.0000 USD,,c2ac014aa5cc057634f1154caf65c0a16ca7277e403f39a1a708b0d2dfbe8a12,,
2025-02-07T14:39:25.685Z,69e22b4b-52dd-4239-b12e-46e02611b7ed,lightning_sent,-317791084,313.8183 USD,0,0,0.0000 USD,1270084,1.2542 USD,21aa63a2a5fa366a33e94dc097bc73b5be51c598cc82021636edbbb59ee22cf5,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a4f612cef4306544dffd32 - VENTA x COP 1250000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-10T19:51:10.390Z,91ce6560-d90a-4944-8b16-6970e09f98df,lightning_sent,-25266648,24.6496 USD,0,0,0.0000 USD,104648,0.1020 USD,b56fd010c51abed9aa7b7d74875f59f06500aa7030c6f297c05a7969747b2407,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Escrow amount Order #67aa4c7e5639000e05dc2ecc: SELL BTC for COP 100000 - It WILL FREEZE IN YOUR WALLET. It will release once you run /release. It will return if buyer does not confirm the payment
2025-02-18T14:59:10.937Z,68727923-9294-478f-9fc7-17c1f042379b,lightning_sent,-25788728,24.6413 USD,0,0,0.0000 USD,106728,0.1019 USD,d4a7067531899e9759bbcfcfa4be7ded2974d1fec4e828cb4c9f7b80f54c0f21,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67b49de05639000e05e478b4 - VENTA x ARS 30000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-18T15:52:07.203Z,2d53a0c4-783b-4e3f-b94a-3c40e23d3ba4,lightning_sent,-51110612,48.8268 USD,0,0,0.0000 USD,207612,0.1983 USD,feb7be0a1e4e4d7538befa2f6cf2c3384c13329d521f80fdfa7013068fdbf17a,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67b4a1d65639000e05e47db9 - VENTA x COP 200000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-21T01:28:05.412Z,8086324c-c58e-4c6b-9d62-43f3a287ed76,lightning_sent,-25536724,25.0795 USD,0,0,0.0000 USD,105724,0.1038 USD,495b4f70228bd586913472861abf0c48fade0844b3dc06d924174c4d1df97947,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Escrow amount Order #67b777b49141fea0bd8700bb: SELL BTC for COP 100000 - It WILL FREEZE IN YOUR WALLET. It will release once you run /release. It will return if buyer does not confirm the payment
2025-02-21T15:20:40.534Z,ed56e3eb-8d0e-4b98-9637-7d81c9d0ed79,lightning_sent,-12682512,12.5280 USD,0,0,0.0000 USD,54512,0.0538 USD,fe2ef0ca47b4e62b68b4831b8e2c1e22f040cdbc84e89cf9f991490ea10462ce,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67b85e4c9141fea0bd8795bd - VENTA x COP 50000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-22T12:44:36.916Z,50c34f3c-6310-4295-89a4-145cf74fbc17,lightning_sent,-51632692,49.9293 USD,0,0,0.0000 USD,209692,0.2027 USD,b49e1d002eb791a9f214f2892488db5fbb07558b4fb7d9a4bed62112b5d2f5b9,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67b9c2989141fea0bd88ac1c - VENTA x COP 200000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-25T01:10:13.287Z,6a5ece7e-eaae-433c-bfca-92f7fd08747f,lightning_sent,-123000024,112.9719 USD,0,0,0.0000 USD,494024,0.4537 USD,640a931e96d21f23720441d3f74a9cf4c5711cf852ce9ac46944833110e2f358,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67bd16719141fea0bd8b65d8 - VENTA x COP 458000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-25T01:13:07.470Z,17359233-29e4-439a-8abc-342b1d13b941,lightning_sent,-11259844,10.3418 USD,0,0,0.0000 USD,48844,0.0448 USD,635b64b2d4129c75422a3001eecbea2f6f5b07f7af8b75a827dbbf61db0540b1,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67bc723d9141fea0bd8aa059 - VENTA x COP 42000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-27T00:44:04.876Z,9296326e-e7ab-42a5-8f96-3079e2ac4e3c,lightning_sent,-8747836,7.3593 USD,0,0,0.0000 USD,38836,0.0326 USD,10c6e286e6eee6d18671eebf3759e8c277caa065eb351028a28c9395df8f6aca,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67bfa3459141fea0bd8e12cc - VENTA x COP 30000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-27T00:37:36.154Z,71898dcf-f3d9-4909-bc2e-a877c7800bf4,lightning_sent,-14431480,12.1409 USD,0,0,0.0000 USD,61480,0.0517 USD,818f325001ad73e9d31f47ff619ea4618a5df3dbb38533f6ec5e3dc32f6562a2,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67bf9d9a9141fea0bd8e0aad - VENTA x COP 50000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
